Age,work_class,income,education,education_num,martal_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours-per-week,native-country
28,Private,224632,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States
38,Local-gov,186322,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States
41,Private,196373,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
50,Self-emp-not-inc,135911,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,United-States
27,Local-gov,150910,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States
57,Federal-gov,213815,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States
41,Private,256599,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
34,Private,149232,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,35,Taiwan
76,Self-emp-not-inc,225423,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,United-States
49,Private,182067,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States
62,Private,229621,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
46,Self-emp-not-inc,177963,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States
41,Private,227700,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,65,United-States
46,Private,341010,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States
36,Federal-gov,102149,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,1408,40,United-States
47,Local-gov,221406,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
33,Private,169920,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
49,Private,241749,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States
44,Self-emp-not-inc,118738,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
67,Private,233715,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,48,United-States
29,Private,253838,Doctorate,16,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States
43,Self-emp-inc,145137,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States
47,Private,82612,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,42,United-States
27,Private,271562,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States
42,Self-emp-not-inc,203114,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States
51,Private,215359,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
52,Private,120334,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,6849,0,60,United-States
46,Private,272936,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States
52,Self-emp-not-inc,318583,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
50,Self-emp-inc,344253,Doctorate,16,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
35,Private,233924,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan
35,Private,106354,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States
43,Local-gov,110240,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States
41,Private,178256,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,Dominican-Republic
35,Private,190951,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States
31,Private,147226,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40,United-States
46,Private,286368,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Female,25236,0,65,United-States
42,Private,141147,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,50,United-States
53,Self-emp-inc,363803,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States
46,Private,177681,Masters,14,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States
31,Private,125579,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,46,United-States
61,Private,128676,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
48,State-gov,306074,Doctorate,16,Divorced,Prof-specialty,Own-child,White,Male,0,0,50,United-States
71,Self-emp-not-inc,149746,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,10605,0,40,United-States
42,Self-emp-not-inc,264093,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States
40,Private,265085,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
43,Private,151582,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,50,South
51,Private,131951,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
51,Local-gov,122117,Preschool,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
47,Private,140286,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,25,United-States
41,Private,194597,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States
43,Private,147512,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,43,United-States
40,State-gov,223510,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
45,Private,195273,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States
50,Private,324707,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,65,United-States
38,Private,110156,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,25,United-States
48,Local-gov,147078,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
48,Self-emp-inc,122249,Masters,14,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India
28,Private,279634,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,0,0,55,United-States
49,Local-gov,175727,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States
35,Private,217375,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,80,United-States
48,State-gov,267473,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,46,United-States
31,Private,321320,Doctorate,16,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,60,China
35,Self-emp-inc,118791,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,Mexico
46,Self-emp-not-inc,175443,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
33,Private,224473,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,44,United-States
28,State-gov,130201,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
88,Self-emp-not-inc,251060,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
25,Private,157254,Masters,14,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,99,United-States
59,Private,211498,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
61,Self-emp-inc,192871,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
54,Private,278227,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States
38,Private,218214,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
75,Self-emp-not-inc,136700,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
35,Private,185206,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States
54,Self-emp-inc,297491,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States
51,Self-emp-inc,191444,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
46,Private,175936,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,35,United-States
36,Self-emp-not-inc,261092,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
35,Private,322709,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States
57,Private,263235,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
28,State-gov,193279,Prof-school,15,Never-married,Prof-specialty,Unmarried,White,Male,0,0,40,United-States
57,Private,122797,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
43,Private,133754,Masters,14,Never-married,Other-service,Not-in-family,White,Female,0,0,30,Poland
65,Private,187991,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,20051,0,40,United-States
54,Self-emp-not-inc,212351,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
41,Self-emp-not-inc,126880,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States
49,Self-emp-inc,165118,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
41,Self-emp-inc,200561,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
49,Private,132582,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,75,United-States
61,Private,221603,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,5,United-States
69,State-gov,157911,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,11,United-States
37,Private,146347,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States
48,Private,129983,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
62,Private,239116,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1628,70,United-States
45,Private,137976,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,England
46,Private,237612,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States
61,Self-emp-not-inc,228010,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
48,Private,122582,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States
65,State-gov,121172,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,6514,0,35,United-States
55,Self-emp-not-inc,203562,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,United-States
46,Private,207573,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
43,Private,166190,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States
44,Private,270162,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
54,Private,205079,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
43,Private,214820,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States
41,Private,191542,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,China
49,Private,144062,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
24,Private,171802,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,6849,0,90,United-States
46,Private,124017,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,27828,0,50,United-States
35,Local-gov,142204,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States
39,Private,222106,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15024,0,40,United-States
45,Private,141263,Masters,14,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines
38,Self-emp-inc,236636,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
50,State-gov,166794,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States
42,State-gov,152922,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States
58,Private,143076,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
44,State-gov,135264,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States
34,Private,124408,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
45,Local-gov,131514,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,1506,0,45,United-States
26,Self-emp-not-inc,143975,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
52,Self-emp-inc,227543,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
42,Local-gov,151934,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,60,United-States
38,Private,74536,Masters,14,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
57,Private,149583,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States
37,Private,115897,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States
57,Private,147305,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
40,Private,251030,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
51,Local-gov,169844,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
50,Private,198502,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States
26,Private,146630,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,8614,0,40,United-States
53,Local-gov,206741,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
75,Self-emp-not-inc,156372,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
34,Private,170418,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,4865,0,60,United-States
39,Private,195591,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Cuba
36,Private,258374,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,England
32,State-gov,61233,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
42,Local-gov,132494,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States
37,Private,93709,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
45,Local-gov,124755,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States
41,Local-gov,135081,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,60,United-States
27,Private,136776,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States
54,Local-gov,134095,Masters,14,Widowed,Prof-specialty,Unmarried,White,Female,0,0,38,United-States
52,Private,118813,Masters,14,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States
44,Private,145332,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,35,United-States
57,Self-emp-inc,195749,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,65,United-States
41,Self-emp-not-inc,209033,Masters,14,Divorced,Sales,Unmarried,White,Male,0,0,5,United-States
63,Self-emp-inc,176213,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States
47,Self-emp-not-inc,183606,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
45,Private,235716,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
38,Federal-gov,326935,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States
58,Self-emp-not-inc,153610,Masters,14,Divorced,Sales,Not-in-family,White,Male,0,0,18,United-States
44,Private,411321,Doctorate,16,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States
29,Private,220230,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States
29,Local-gov,211676,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States
29,Private,279206,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Canada
41,Private,156705,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,55,Taiwan
62,State-gov,98891,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
63,Federal-gov,212731,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
36,Private,147797,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan
44,Private,106122,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States
26,Private,319241,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States
34,Self-emp-inc,126530,Masters,14,Separated,Prof-specialty,Not-in-family,White,Female,4787,0,40,United-States
55,Private,314718,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,England
53,Private,133543,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,54,United-States
39,Local-gov,144274,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
55,Self-emp-inc,239739,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece
35,Private,267096,Prof-school,15,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,35,China
31,State-gov,185396,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States
50,Federal-gov,133402,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
40,Private,358303,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
59,Self-emp-not-inc,284855,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States
49,Federal-gov,162845,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,56,United-States
58,State-gov,329687,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4064,0,40,India
24,State-gov,203785,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,13,United-States
39,Private,176210,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Male,8614,0,52,United-States
74,Private,205099,Prof-school,15,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,20,United-States
25,Private,145294,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,0,20,United-States
52,State-gov,186064,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
43,Private,96015,Masters,14,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States
26,Federal-gov,135806,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Columbia
38,Private,190849,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States
55,State-gov,157934,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States
40,State-gov,125941,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States
52,Self-emp-not-inc,216882,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,45,United-States
42,State-gov,137171,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States
28,Private,146470,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
62,Private,177096,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States
43,Local-gov,175054,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States
43,Federal-gov,183189,Masters,14,Divorced,Protective-serv,Not-in-family,White,Male,0,0,60,United-States
27,State-gov,154730,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,Germany
47,Self-emp-inc,332350,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States
33,Private,171950,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States
47,State-gov,213600,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States
41,Private,127949,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
36,Private,211079,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
58,Self-emp-inc,297214,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States
44,Private,230374,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,14084,0,40,United-States
45,Local-gov,202533,Prof-school,15,Divorced,Prof-specialty,Unmarried,Black,Female,0,1726,40,United-States
40,Self-emp-not-inc,229416,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States
47,Private,225408,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
41,State-gov,141368,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States
45,Private,118251,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States
71,Private,117025,Preschool,1,Widowed,Craft-repair,Unmarried,Black,Male,0,0,10,United-States
56,Private,271980,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,16,United-States
29,Local-gov,148235,Masters,14,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,40,Taiwan
30,Local-gov,139489,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
26,Private,129068,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States
29,Self-emp-not-inc,288888,Prof-school,15,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,Italy
31,Private,64810,Preschool,1,Never-married,Other-service,Other-relative,White,Female,0,0,35,Mexico
49,Local-gov,134775,Masters,14,Separated,Prof-specialty,Unmarried,White,Female,0,0,50,United-States
37,Private,161543,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
44,Private,148668,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,48,India
37,Private,168625,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
64,State-gov,266159,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,4787,0,40,United-States
51,State-gov,310892,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
57,Private,229565,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,1902,40,Philippines
42,Self-emp-inc,244948,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States
28,State-gov,204385,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
61,Private,88900,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
50,Local-gov,211133,Prof-school,15,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,52,United-States
57,Self-emp-inc,209617,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male,15024,0,50,United-States
38,Private,125354,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
40,State-gov,159379,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States
48,Private,268346,Prof-school,15,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States
46,Private,162835,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States
45,Private,280275,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,56,United-States
55,Private,205636,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States
32,Private,142803,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States
64,Self-emp-not-inc,269502,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States
33,Private,188482,Prof-school,15,Never-married,Prof-specialty,Own-child,White,Male,0,0,42,United-States
43,Local-gov,140250,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States
38,Private,141242,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
43,Self-emp-not-inc,134941,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
36,Private,209228,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,99999,0,45,United-States
57,Self-emp-not-inc,221754,Prof-school,15,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States
